Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sidoarjo,jember,bayuwangi,batu,kediri,surabaya,malang,pacitan,tuban,jombang,tulungagung,sumenep,probolinggo,ngawi,madiun,pasuruan,pamekasan,bojonegoro,mojokerto,nganjuk,lamongan,magetan,ponorogo,situbondo,gresik,blitar,bondowoso,trenggalek,lumajang,sampang,bangkalan,purworejo
SPOT ON 2090 Ratna Backpacker Syariah,1027,75830,probolinggo,0,7.8,-7.7528044,113.2127322,0.011398053,122961.3333,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1119,76187,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,346380.2,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2046 Villa Hardi,1119,76485,batu,0,8,-7.8632824,112.4936365,0.012987172,377558.8889,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2046 Villa Hardi,1121,76485,batu,0,8,-7.8632824,112.4936365,0.012987172,293560.6,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2046 Villa Hardi,1122,76485,batu,0,8,-7.8632824,112.4936365,0.012987172,281928.6,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1029,76983,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,187357.8571,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1030,76983,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,179747,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1031,76983,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,167395.8,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1101,76983,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,177880.8,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1102,76983,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,177380.8,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
