Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
Cabin Hotel,1031,350000,jakarta utara,2,8.4,-6.1477093,106.8876017,0.011835841,135894.1111,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Couleur Hotel Cengkareng,1112,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,136868.4,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1113,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,157531,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1115,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,128425.8,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1116,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,140673.5,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1117,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,139635.9,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1119,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,132776.3,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1120,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,140374.5556,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Couleur Hotel Cengkareng,1121,350000,jakarta barat,2,8.1,-6.1677719,106.7269442,0.026703792,125864.3333,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Sanctuary Spaces by TwoSpaces,1113,350000,jakarta barat,0,8.8,-6.17948,106.7972959,0.006411098,360436.25,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Sanctuary Spaces by TwoSpaces,1120,350000,jakarta barat,0,8.8,-6.17948,106.7972959,0.006411098,108662.2222,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
