Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Jogja Backpacker Rooms,1025,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,81646,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1026,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,76917,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1027,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,53281,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1028,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,54570.22222,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1029,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,89645.11111,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1030,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,115875.25,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1031,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,99198.88889,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1101,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,74363.4,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Dieng Hotel Permai Yogyakarta,1020,99000,yogyakarta,1,7.5,-7.7859389,110.3630545,0.001982539,297084.6667,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Dieng Hotel Permai Yogyakarta,1021,99000,yogyakarta,1,7.5,-7.7859389,110.3630545,0.001982539,467002.7143,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Dieng Hotel Permai Yogyakarta,1025,99000,yogyakarta,1,7.5,-7.7859389,110.3630545,0.001982539,350598,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Dieng Hotel Permai Yogyakarta,1026,99000,yogyakarta,1,7.5,-7.7859389,110.3630545,0.001982539,303084.4444,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Griya Godean Yogyakarta,1117,99000,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,129764.1111,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1118,99000,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,142066.2222,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1119,99000,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,203923.2857,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1120,99000,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,378287.6667,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Jogja Backpacker Rooms,1112,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,115164.8,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1113,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,211662.25,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1114,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,104812,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1115,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,83384.125,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1116,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,67279.875,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1117,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,95050.55556,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1118,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,84025.8,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1119,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,89777.125,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1120,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,101506.875,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1121,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,75822.3,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
SPOT ON 2857 Hotel Pelangi,1020,99087,yogyakarta,0,8,-7.8074837,110.3561406,0.006253315,154536,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Griya Godean Yogyakarta,1020,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,164569.5556,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1021,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,124356.25,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1022,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,147371.25,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1030,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,276686.5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1031,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,129133.6667,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Griya Godean Yogyakarta,1101,99750,bantul,0,6.4,-7.7803536,110.3468983,0.014209556,117524.1111,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Hotel Jambu Indah Purnama,1020,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,192250,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1021,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,195650.1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1022,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,323650.1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1023,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,294437.5,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
